Number of loops run over : 1000,,,,,,,,
,,,,,,,,
DataSet Size,100,500,1000,5000,10000,20000,50000,70000
MoveToFrontList,,,,,,,,
Insert Seqeuntial,29,128,193,575,1116,2670,6618,7046
Find Sequential,5,26,29,130,286,598,1330,1570
,,,,,,,,
Insert Random,110,225,256,878,1578,3883,19444,20573
Find Random,30,105,146,550,873,2576,6831,10138
,,,,,,,,
AVLTree,,,,,,,,
Insert Seqeuntial,71,177,286,773,1425,4060,10111,10730
Find Sequential,6,25,48,198,378,735,1822,2150
,,,,,,,,
Insert Random,118,291,330,1345,1946,5512,25516,27087
Find Random,35,72,122,573,1001,2781,7040,9495
,,,,,,,,
BSTTree,,,,,,,,
Insert Seqeuntial,47,136,267,714,1242,3370,8269,9288
Find Sequential,3,29,33,125,262,587,1341,1764
,,,,,,,,
Insert Random,58,253,263,1681,1566,4444,21387,21946
Find Random,11,82,102,482,821,2241,6621,8291